127.0.0.1 - - [13/Jan/2020:11:53:58 +0100] "GET / HTTP/1.1" 404 631
0:0:0:0:0:0:0:1 - - [13/Jan/2020:11:53:58 +0100] "GET /hello/index.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [13/Jan/2020:11:53:58 +0100] "GET /favicon.ico HTTP/1.1" 404 642
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:21:26 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:21:26 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:22:09 +0100] "GET /hello/index.html HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:24:07 +0100] "GET /hello/index.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:25:30 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:25:31 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:31:36 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:31:37 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:31:38 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:31:59 +0100] "GET /hello/index.html HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [13/Jan/2020:14:32:05 +0100] "GET /hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2020:15:33:27 +0100] "GET /hello/index.html HTTP/1.1" 304 -
